Question,Answer,Chapter
Paul said that the hearers of the law are not justified before God but these people are, the doers of the law Romans 2:13,2
What did Paul say would happen to our circumcision if we are a breaker of the law?, it would be made uncirumcision Romans 2:25,2
FIB 2 blanks For what if some did not ____? shall their unbelief make the faith of God without ____?," believe, effect Romans 3:3",3
"Complete the phrase, ""God forbit, yea, let God be true…""", but every man a liar Romans 3:4,3
Paul said that it was slanderously reported that they did evil so that this may come?, good Romans 3:8,3
"Complete the verse, ""As it is written, there is none righteous…"""," no, not one Romans 3:10",3
"FIB, 2 blanks There is ____ that understandeth, there is ____ that seeketh after God."," none, none Romans 3:11",3
"In Romans chapter 3 Paul wrote the following the poison of ""blank"" is under their lips. What was he referring to?", Asps Romans 3:13,3
What is under the lips of the unrighteous?," ""The poison of asps."" (Romans 3:13)",3
"In Romans chapter 3 Paul wrote of the unrighteous, Their feet are swift to do what?", shed blood Romans 3:15,3
"FIB 2 blanks, There is no ___ of God before their ____ "," fear, eyes  Romans 3:18",3
"According to the apostle Paul the things the law says, who does it say them to?", them who are under the law Romans 3:19,3
"Paul said that what things the law says it saith to them who are under the law, for what purpose?", that every mouth be stopped and all the world guilty before God Romans 3:19,3
"FIB 2 blanks, Therefore by the ____ of the law there shall no flesh be _____ in his sight: for by the law is the knowledge of sin"," deeds, justified  Romans 3:20",3
"FIB 2 blanks, Therefore by the deeds of the ____ there shall no flesh be justified in his sight: for by the ____ is the knowledge of sin"," law, law  Romans 3:20",3
By what can no flesh be justified in God’s sight?," ""By the deeds of the law."" (Romans 3:20)",3
What does the law provide knowledge of?," ""The knowledge of sin."" (Romans 3:20)",3
"Complete the verse, ""For all have sinned….""", and come short of the glory of God Romans 3:23,3
"According to Paul, who has sinned and fallen short of the glory of God?"," ""All have sinned."" (Romans 3:23)",3
"FIB 2 blanks, Therefore we conclude that a man is justified by ____ without the deeds of the ___ "," faith, law Romans 3:28",3
"Complete the verse, Do we then make void the law through faith? God forbid"," yea, we establish the law. Romans 3:31",3
"Complete the verse, Do we then make void the law through faith?","  God forbid yea, we establish the law. Romans 3:31",3
"Paul says that if Abraham was justified by works he would have what to glory, but not before whom?", God Romans 4:2,4
"Romans says that Abraham believed God, what was it counted to him as?", Righteousness Romans 4:3,4
"FIB 2 blanks, Now to him that worketh is the reward not reckoned of ____, but of ____"," grace, debt Romans 4:4",4
"According to Paul in the book of Romans, those who worketh not but believe on Jesus, how is their faith counted for?", Righteousness Romans 4:5,4
"FIB one blank, Saying, _____ are they whose iniquities are forgiven, and whose sins are covered", Blessed Romans 4:7,4
"FIB two blanks, _____ is the man to whom the Lord will not impute ___"," Blessed, sin Romans 4:8",4
Paul says that the promise that he should be heir of the world was not to Abraham or his seed through the law but through what?, The righteousness of faith Romans 4:13,4
"Complete the verse, Because the law worketh wrath, for where no law is", there is no transgression Romans 4:15,4
"According to Paul in Romans chapter 4, what does the law worketh?"," Wrath, Romans 4:15",4
"According to Paul in Romans chapter 4, where no law is, there is no what?", Transgression Romans 4:15,4
"Paul said in Romans chapter 4 that if they which of the law be heirs, then what would be made void?", Faith Romans 4:14,4
How are we justified according to Romans 5:1, By faith (Romans 5:1),5
"According to Paul, who do we have peace with God through?", Our Lord Jesus Christ Romans 5:1,5
What did Paul say that tribulation worketh?, Patience Romans 5:3,5
"Paul said that tribulation worketh patience, what does patience lead to?", experience Romans 5:4,5
"Paul said that tribulation worketh patience, and patience leads to experience. What does experience lead to?", Hope Romans 5:4,5
"Paul said that tribulation worketh patience, and patience leads to experience which leads to hope. What does Paul say about hope?", maketh not ashamed Romans 5:5,5
"FIB 2 blanks, For scarcely for a ______ man will one die: yet peradventure for a ____ man some would even dare to die"," righteous, good Romans 5:7",5
"Complete the verse, But God commendeth his love toward us, in that, while we were yet sinners", Christ died for us Romans 5:8,5
By what are we justified according to Romans 5:9, By His blood (Romans 5:9),5
"According to Paul, when we were enemies with God, what were we reconciled to God by?", the death of His Son Romans 5:10,5
"FIB 3 blanks, Wherefore, as by one man ___ entered into the world, and death by ___, and so death passed upon all men, for that all have ____"," sin, sin, sinned   Romans 5:12",5
"FIB 2 blanks, Wherefore, as by one man sin entered into the world, and ____ by sin, and so ____ passed upon all men, for that all have sinned","  death, death Romans 5:12",5
"FIB 2 blanks, Wherefore, as by one ___ sin entered into the world, and death by sin, and so death passed upon all ___, for that all have sinned"," man, men  Romans 5:12",5
"According to Paul, what came into the world through sin", Death (Romans 5:12),5
"According to Paul, sin is not imputed when there is no what?", law Romans 5:13,5
"According to Paul, death reigned from Adam to whom?", Moses Romans 5:14,5
"According to Paul, death reigned from this person to Moses, who was he referring to?", Adam Romans 5:14,5
"According to Romans chapter 5, through the offence of one, (blank) be dead", many Romans 5:15,5
"Be specific, Paul said by the offence of one, judgment came upon all men, but by the righteousness of one, the what came upon all men?", free gift Romans 5:18,5
"Paul said that by one man's disobedience many were made sinners, so by the obedience of one shall many be made what?", righteous Romans 5:19,5
"FIB 3 blanks, Moreover the law entered, that the offence might ____. But where sin _____, grace did much more ____"," abound, abounded, abound   Romans 5:20",5
"FIB 2 blanks, Moreover the law entered, that the offence might abound. But where ___ abounded, ____ did much more abound","  sin, grace  Romans 5:20",5
"FIB 2 blanks, What shall we say then? Shall we continue in sin, that ____ may ____?"," grace, abound Romans 6:1",6
"Complete the verse, ""God forbid. How shall we, that are dead to sin….""", live any longer therein? Romans 6:2,6
"According to Paul, many of us who are baptized into Jesus Christ were baptized into his what?", death Romans 6:3,6
"FIB 2 blanks, For he that is ____ is freed from ___."," dead, sin Romans 6:7",6
"Paul says that Christ being raised from the dead dieth no more, what does death hath no more (blank) over Him?", dominion Romans 6:9,6
What does Paul say that the believers are dead unto?, Sin Romans 6:11,6
"What reason did Paul give for the statement that ""Sin should not have dominion over you?"""," for ye are not under the law, but under grace Romans 6:14",6
"Be specific, what was Pauls answer to his question, ""Shall we sin because we are not under the law, but under grace?""", God forbid Romans 6:15,6
"FIB, 2 blanks, For the ____ of sin is ____, but the gift of God is eternal life through Jesus Christ our Lord.","  wages, death Romans 6:23",6
"FIB, 2 blanks, For the wages of ___ is death, but the ___ of God is eternal life through Jesus Christ our Lord."," sin, gift  Romans 6:23",6
"Complete the verse, For the wages of sin is death but the gift of God is eternal life", through Jesus Christ our Lord. Romans 6:23,6
"Complete the verse, For the wages of sin is death", but the gift of God is eternal life through Jesus Christ our Lord. Romans 6:23,6
"According to Paul in Romans chapter 7, who is a woman bound to as long as that person is alive?", Her husband Romans 7:2,7
"According to Paul in Romans chapter 7, what will a woman who marries another man while her husband is still alive called?", An adulteress Romans 7:3,7
"According to Paul in Romans chapter 7, what is it that binds a woman to her husband while he is still alive?", The law Romans 7:2,7
"FIB 3 blanks, What shall we say then? Is the ___ sin? God forbid. Nay, I had not known sin, but by the ___: for I had not known lust, except the ___ had said, Thou shalt not covet."," law, law, law Romans 7:7",7
"FIB 2 blanks, What shall we say then? Is the law ___? God forbid. Nay, I had not known ___, but by the law: for I had not known lust, except the law had said, Thou shalt not covet."," sin, sin Romans 7:7",7
"Complete the verse, ""What shall we say then? Is the law sin? God forbid. Nay, I had not known sin, but by the law: for I had not known lust, except the law had said""", Thou shalt not covet. Romans 7:7,7
"Complete the verse, ""For I was alive without the law once, but when the commandment came, sin revived""",  and I died. Romans 7:9,7
"FIB 2 blanks, Wherefore the law is ___, and the commandment ___, and just, and good."," holy, holy Romans 7:12",7
"FIB 2 blanks, Wherefore the ___ is holy, and the ____ holy, and just, and good."," law, commandment Romans 7:12",7
"FIB 2 blanks, For we know that the law is ____, but I am ____, sold under sin."," spiritual, carnal Romans 7:14",7
"Complete the verse, ""For the good that I would I do not, but the evil which I would not…""",  that I do Romans 7:19,7
"Complete the verse, ""Now if I do that I would not, it is no more I that do it…""", but sin that dwelleth in me. Romans 7:20,7
"What is the missing word, Paul said ""I find then a law, that, when I would do good,"" (blank) is present with me.", evil Romans 7:21,7
"FIB 1 blank, For I delight in the law of God after the ____ man", inward Romans 7:22,7
"FIB 3 blanks, But I see another ___ in my members, warring against the ___ of my mind, and bringing me into captivity to the ___ of sin which is in my members"," law, law, law Romans 7:23",7
"Complete the verse, ""O wretched man that I am! who shall deliver me from the body of…""", this death? Romans 7:24,7
"FIB 2 blanks, I thank ___ through Jesus Christ our Lord. So then with the mind I myself serve the law of ___, but with the flesh the law of sin. "," God, God Romans 7:25",7
"Complete the verse, ""There is therefore now no condemnation to them which are in Christ Jesus, who walk not after the flesh…",  but after the Spirit Romans 8:1,8
In writing to the Romans Paul said that God sent his own son in the likeness of what?, sinful flesh Romans 8:3,8
"Complete the verse, ""That the righteousness of the law might be fulfilled in us, who walk not after the flesh….""",  but after the Spirit. Romans 8:4,8
"Be specific, Paul says that to be carnally minded is death, what did he say to be spiritually minded is?", joy and peace Romans 8:6,8
Paul says the carnal mind is not subject to the law of God neither indeed can be what was the reason Paul gave in that verse?, it is enmity against God Romans 8:7,8
"FIB 2 blanks, For ye have not received the spirit of bondage again to ____, but ye have received the ____ of adoption, whereby we cry, Abba, Father"," spirit, Spirit Romans 8:15",8
"FIB, 4 blanks, For we are saved by ____, but ____ that is seen is not ____, for what a man seeth, why doth he yet ____ for?"," hope, hope, hope, hope Romans 8:24",8
"FIB 2 blanks, Likewise the ____ also helpeth our infirmities, for we know not what we should pray for as we ought, but the ____ itself maketh intercession for us with groanings which cannot be uttered."," Spirit, Spirit Romans 8:26",8
"Complete the verse, ""And we know that all things work together for good to them that love God, to them who are the called""",  according to his purpose. Romans 8:28,8
"According to Paul, how many things work together for good to them that love God?", all Romans 8:28,8
"Complete the verse, ""What shall we then say to these things? If God be for us….""",  who can be against us? Romans 8:31,8
"Bonus for 25: In Romans 8 verse 35 Paul asks, who shall separate us from the love of Christ? He then lists 7 things. For 5 points each list any 3 of the 7"," tribulation, distress, persecution, famine, nakedness, peril, sword Romans 8:35",8
"Be specific, Paul said Nay, in all these things we are more that conquerors through whom?", him that loved us Romans 8:37,8
Bonus for 20: In Romans 8:38 & 39 Paul says he is persuaded that none of these things shall be able to separate us from the love of God. For 5 points each give any 4 of the 10 things he listed," death, life, angels, principalities, powers, things present, things to come, height, depth, any other  creature Romans 8:38-39",8
