Question,Answer,Chapter
The daughter of Zion (Jerusalem) is described as left as a cottage in where?, a vineyard Isaiah 1:8,1
"After describing the daughter of Zion (Jerusalem) as a besieged city, what did Isaiah say that God left?", a (very small) remnant,t
What did God say he was full of?, the burnt offerings of ram (and the fat of fed beasts) Isaiah 1:11,1
Bonus Question: For 5 points each list the 3 animals God said he did not delight in?," (blood of) bullocks, lambs, he goats Isaiah 1:11",1
What did God describe as an abomination to him?, Incense Isaiah 1:13,1
Bonus Question: For 5 points each list any of the 3 things God called an iniquity in Isaiah chapter 1?," new moons, sabbaths, calling of assemblies Isaiah 1:13",1
What 2 things did God say that his soul hateth?, their new moons and appointed feasts Isaiah 1:14,1
What did God say he would do when the people of Judah spread forth their hands?, hide his eyes from them Isaiah 1:15,1
What will God do when they spread forth their hands?, Hide His eyes – Isaiah 1:15,1
Why did God say he would not hear the many prayers of the people of Judah?, Their hands were full of blood Isaiah 1:15,1
"FIB 2 blanks - Wash you, make you ____, put away the evil of your doings from before mine ____, cease to do evil"," clean, eyes Isaiah 1:16",1
"Complete the verse - Learn to do well, seek judgment, relieve the oppressed, judge the fatherless",  plead for the widow. - Isaiah 1:17,1
"According to Isaiah chapter 1, what should the people of Judah do for the fatherless?", Judge them - Isaiah 1:17,1
What did Isaiah say the people of Judah should do for the oppressed?, Relieve them - Isaiah 1:17,1
Whom are they commanded to relieve?, The oppressed – Isaiah 1:17,1
For whom are they told to plead?, The widow – Isaiah 1:17,1
"God invited the people of Judah to reason together, what did He say would happen to their sins which were like scarlet?", they shall be white as snow - Isaiah 1:18,1
"God invited the people of Judah to reason together, what did He say would happen to their sins which were red as crimson?", they shall be as wool - Isaiah 1:18,1
"What condition did God give the people of Judah when He said ""ye shall eat the good of the land""? ", If ye be willing and obedient. Isaiah 1:19,1
"What did God say would happen when He said ""If ye be willing and obedient""", ye shall eat the good of the land - Isaiah 1:19,1
What did God warn the people of Judah would happen if they refused and rebelled?, Ye shall be devoured with the sword - Isaiah 1:20,1
"God lamented, ""How is the faithful city become an harlot!"" What did He say it was full of?", Judgment - Isaiah 1:21,1
"According to Isaiah, what has the faithful city become?", An harlot - Isaiah 1:21,1
"Isaiah warned that Judah's silver is  become dross, what was their wine mixed with?", water - Isaiah 1:22,1
"According to Isaiah chapter 1, what had happened to their silver?", It had become dross – Isaiah 1:22,1
Isaiah warned that their princes were rebellious and companions of thieves. What did he say that everyone loveth?, gifts - Isaiah 1:23,1
"God warned Judah that he would turn His hand on them, what would he purge away?", their dross - Isaiah 1:25,1
God promised that He would restore their judges and their counselors. What two things would they be called as a result?," The city of righteousness, the faithful city",y
"God said that Zion would be redeemed with judgements, what would her converts be redeemed with?", righteousness - Isaiah 1:27,1
Isaiah said that the mountain of the Lord's house shall be established in the  top of the mountains. What would it be exalted above?, the hills - Isaiah 2:2,2
Isaiah said that the mountain of the Lord's house shall be established in the  top of the mountains. What would flow into it?, all nations - Isaiah 2:2,2
What did God say the people would beat their swords into?, plowshares - Isaiah 2:4,2
What did God say the people would beat their spears into?, pruninghooks - Isaiah 2:4,2
"According to Isaiah, what of the people did God say they would beat into pruninghooks?", their spears - Isaiah 2:4,2
"Isaiah said nation shall not lift up sword against nation, what did he say they would not learn any more?", war - Isaiah 2:4,2
"According to Isaiah, what of the people did God say they would beat into pruninghooks?", their spears - Isaiah 2:4,2
"Talking to the house of Jacob, Isaiah compared them with soothsayers like who?", the Philistines - Isaiah 2:6,2
"God warned Judah that their land was full of silver and gold and treasures, what other 2 things did he say they were full of or had lots of?"," horses, chariots - Isaiah 2:7",2
What did Isaiah say the people had made with their own hands?, idols - Isaiah 2:8 ,2
"Bonus Question: In Isaiah chapter 2, God warns Judah that their land has no end of, or is full of these 6 things. For 5 points each name any 3 of these things"," silver, gold, (silver and gold), treasures, horses, chariots, idols - Isaiah 2:7-8",2
"Isaiah said that the mean man boweth down, and the great man humbleth himself (before idols), what was God's response?", (therefore) forgive them not - Isaiah 2:9,2
How would the mean man and the great man respond for the fear of the Lord?, enter into the rock and hide in the dust - Isaiah 2:10,2
"Isaiah said that the lofty looks of men shall be humbled, what of men did he say will be bowed down?", haughtiness of men - Isaiah 2:11,2
"Isaiah said that the lofty looks and haughtiness of men will be brought low, who alone did he say would be exalted?", the Lord - Isaiah 2:11,2
What two trees did God compare lofty and haughty men?," Cedars (of Lebanon), and Oaks (of Bashan) - Isaiah 2:13",2
"Bonus Question: Besides the cedars of Lebanon and the oaks of Bashan, God mentioned 6 things which would bee brought low. For 5 points each list any 4"," high mountains, hills, high tower, fenced wall, ships of Tarshish, pleasant picture - Isaiah 2:14-16",2
What did God say he would utterly abolish?, the idols - Isaiah 2:18,2
Bonus Question: For 5 points each list the two places people would go to for fear of the Lord and the glory of his majesty?," to the holes of the rocks, to the caves of the earth - Isaiah 2:19",2
Bonus Question: For 5 points each list the two places that men should cast their idols of silver and gold?," To the moles, to the bats - Isaiah 2:20",2
"Bonus Question: For 5 points each list the two places that men would flee after they cast their idols of silver and gold to the moles and bats, where would they flee?"," into the clifts of the rocks, into the tops of the ragged rocks - Isaiah 2:21",2
God warned that man's breath is in his nostrils who did He say we should respond to them (why should we not take advise from them)?, Cease ye from man - Isaiah 2:22,2
What two stays (supplies) did the Lord say he would take away from Jerusalem and Judah?," bread, water - Isaiah 3:1",3
Who did God say would rule over the captain of fifty?, babes - Isaiah 3:4,3
Who did God say would be the princes to the eloquent orator?, children - Isaiah 3:4,3
"According to Isaiah, who would the child behave himself proudly against?", the ancient - Isaiah 3:5,3
"According to Isaiah, who would the base behave himself proudly against?", the honorable - Isaiah 3:5,3
Who will behave himself proudly against the honourable, The base - Isaiah 3:5,3
"According to Isaiah, the what reason would a man give for taking hold of his brother and telling him to be their ruler?", Thou hast clothing (a coat) - Isaiah 3:6,3
"According to Isaiah, what reason would a brother give for not accepting the demand to be their ruler?", he had neither bread nor clothing - Isaiah 3:7,3
"Isaiah says Jerusalem is ruined and Judah is fallen, what of God's glory did they provoke?", the eye - Isaiah 3:8,3
"According to Isaiah, what city does Jerusalem and Judah declare their sin as?", Sodom - Isaiah 3:9,3
"According to Isaiah, what will the righteous eat?", the fruit of their doings - Isaiah 3:10,3
"In speaking of his people, Isaiah says children are their oppressors, who does he say rules over them?", women - Isaiah 3:12,3
Where did Isaiah say that the spoil of the poor was?, in their houses (ancients and princes) - isaiah 3:14,3
What did God say that the ancients and princes did to the faces of the poor?, they grind them - Isaiah 3:15,3
Who did the Lord say were haughty and walked with stretched forth necks and wanton eyes?, the daughters of Zion (Jerusalem and Judah) - Isaiah 3:16,3
What did the Lord say the daughters of Zion make with their feet as they walked?, a tinkling - Isaiah 3:16,3
What did the Lord say He would smite the crown of the heads of the daughters of Zion with?, a scab - Isaiah 3:17,3
Bonus Question: For 5 points each list any 3 of the 21 Things which God said he would take away from the daughters of Zion," the bravery of their tinkling ornaments (about their feet), their cauls, round  tires like the moon (necklaces), chains, bracelets, mufflers, bonnets, ornaments of the legs, headbands, tablets, earrings, rings, nose jewels, changeable suits of apparell, mantles, wimples, crisping pins, glasses, fine linen, hoods, vails - Isaiah 3:18-23",3
What did the Lord say the daughters of Zion would have instead of well set hair?, baldness - Isaiah 3:24,3
What did the Lord say the daughters of Zion would have instead of a girdle?, a rent - Isaiah 3:24,3
"According to Isaiah, 7 women would take hold of 1 man. What did they say they would eat?", their own bread - Isaiah 4:1,4
"According to Isaiah, 7 women would take hold of 1 man. What did they want taken away?", their reproach - Isaiah 4:1,4
"According to Isaiah, 7 women would take hold of 1 man. What did they want to be called by?", to be called by their name (the man's) - Isaiah 4:1,4
To whom was the song of the vineyard in Isaiah sung?, to my wellbeloved - Isaiah 5:1,5
According to Isaiah where was the vineyard planted?, in a very fruitful hill - Isaiah 5:1,5
What did my wellbeloved build in the midst of his vineyard?, a tower - Isaiah 5:2,5
"Be specific, according to Isaiah, what did my wellbeloved plan in his vineyard?", the choicest vine - Isaiah 5:2,5
What will be done to the hedge of the vineyard, It shall be taken away - Isaiah 5:5,5
What will happen to the wall of the vineyard, It shall be broken down - Isaiah 5:5,5
"After the wellbeloved breaks down the vineyard, what will come up out of it?", briers and thorns - Isaiah 5:6,5
In the parable of the vineyard what will God command the clouds not to do, Rain rain upon it - Isaiah 5:6,5
"According to Isaiah, what is the vineyard of the Lord of hosts?", the house of Israel - Isaiah 5:7,5
What word did God say to them that join house to house and field to field (to keep others out)?, woe - Isaiah 5:8,5
"According to Isaiah, how much would 10 acres of vineyard yield?", one bath (of wine) I- Isaiah 5:10,5
For what reason did Isaiah say that people rose up early in the morning?, to follow strong drink - Isaiah 5:11,5
What year did Isaiah see the Lord sitting upon a throne?, In the year king Uzziah died - Isaiah 6:1,6
What was special about the train of the Lord which Isaiah saw?, It filled the temple - Isaiah 6:1,6
What filled the temple in Isaiah's vision?, His train (the hem of His robe) - Isaiah 6:1,6
How is the Lord's throne described in Isaiah's vision?, High and lifted up - Isaiah 6:1,6
When did Isaiah see his vision of the Lord sitting upon a throne?, the year king Uzziah died - Isaiah 6:1,6
What did Isaiah see above the temple of the Lord?, the seraphims - Isaiah 6:2,6
How many wings did each seraphim have?, six - Isaiah 6:2,6
"According to Isaiah, who spoke the following words? ""Holy, holy, holy, is the Lord of hosts, the whole world is full of his glory.""", the seraphims - Isaiah 6:3,6
"Who did the seraphims say the following words to? ""Holy, holy, holy, is the Lord of hosts, the whole world is full of his glory.""", to the other seraphim - Isaiah 6:3,6
What did one seraphim cry unto another?," Holy, holy, holy, is the LORD of hosts, the whole earth is full of his glory - Isaiah 6:3",6
"According to Isaiah, what moved at the voice of the seraphims?", the posts of the door - Isaiah 6:4,6
"According to Isaiah the posts of the door moved at the sound of the seraphim's voice, what else happened to the house?", it was filled with smoke - Isaiah 6:4,6
"According to Isaiah the house was filled with smoke at the sound of the seraphim's voice, what else happened to the house?", the posts of the door moved - Isaiah 6:4,6
What filled the house after the seraphim cried out?, Smoke - Isaiah 6:4,6
"FIB 2 blanks, Then said I, Woe is me! for I am undone, because I am a man of _____ lips, and I dwell in the midst of a people of _____ lips, for mine eyes have seen the King, the Lord of hosts.","  unclean, unclean - Isaiah 6:5",6
"FIB 2 blanks, Then said I, ___is me! for I am ____, because I am a man of unclean lips, and I dwell in the midst of a people of unclean lips, for mine eyes have seen the King, the Lord of hosts.","  woe, undone - Isaiah 6:5",6
"FIB 2 blanks, Then said I, Woe is me! for I am undone, because I am a man of unclean lips, and I dwell in the midst of a people of unclean lips, for mine ___ have seen the ___, the Lord of hosts."," eyes, King - Isaiah 6:5",6
Why did Isaiah say he was undone?," Because I am a man of unclean lips (and I dwell in the midst of a people of unclean lips, for mine eyes have seen the King the Lord of hosts)- Isaiah 6:5",6
"Be specific, what did the seraphim that flew to Isaiah have in his hand?", a live coal - Isaiah 6:6,6
"The angel flew to Isaiah with a live coal in his hand, from where did the angel get the coal?", from off the altar - Isaiah 6:6,6
What instrument did the seraphim use to take the coal from off the altar?, Tongs - Isaiah 6:6,6
Where did the seraphim lay the live coal he had taken from off the altar?, Upon Isaiah's mouth - Isaiah 6:7,6
"To whom were the following words spoken? ""Lo, this hath touched thy lips, and thine iniquity is taken away, and they sins purged.""", to Isaiah - Isaiah 6:7,6
"Who spoke the following words? ""Lo, this hath touched thy lips, and thine iniquity is taken away, and they sins purged.""", the seraphim (angel) - Isaiah 6:7,6
What happened to Isaiah's iniquity when the coal touched his mouth?, It was taken away - Isaiah 6:7,6
"What was Isaiah's response when the Lord asked ""Whom shall I send, and who will go for us?"""," Here am I, send me - Isaiah 6:8",6
What was Isaiah commanded to tell the people?," Hear ye indeed, but understand not, and see ye indeed, but perceive not - Isaiah 6:9",6
"According to the Lord's instructions to Isaiah, what of the people was to be made fat?", Their hearts - Isaiah 6:10,6
"According to the Lord's instructions to Isaiah, what of the people was to be made heavy?", Their ears - Isaiah 6:10,6
"According to the Lord's instructions to Isaiah, what of the people was to be shut?", Their eyes - Isaiah 6:10,6
Why were the people's eyes to be shut?," Lest they see with their eyes, and hear with their ears, and understand with their heart, and convert, and be healed - Isaiah 6:10",6
"Complete the verse, Then said I, Lord, how long? And he answered, Until the cities be wasted without inhabitant, and the houses without man",  and the land be utterly desolate - Isaiah 6:11,6
What fraction of the people would remain in the land?, A tenth Isaiah 6:13,6
What was the name of the son of Jotham?, Ahaz - Isaiah 7:1,7
Who was the father of Ahaz?, Jotham - Isaiah 7:1,7
Who was the grandfather of Ahaz?, Uzziah - Isaiah 7:1,7
"According to Isaiah, who was the king of Syria?", Rezin - Isaiah 7:1,7
"According to Isaiah, who was Remaliah's son?", Pekah - Isaiah 7:1,7
What was Pekah king of according to Isaiah?, king of Israel - Isaiah 7:1,7
What 2 kings went up to war against Jerusalem according to Isaiah chapter 7?," Rezin king of Syria, Pekah king of Israel - Isaiah 7:1",7
"According to Isaiah, who was told that Syria was confederate with Ephraim (Israel)?", The house of David (Ahaz) - Isaiah 7:2,7
Who did the Lord instruct Isaiah to take with him when he was sent to meet with Ahaz?, Shear jashub his son - Isaiah 7:3,7
"FIB 2 blanks, Then said the Lord unto Isaiah, Go forth now to meet Ahaz, thou, and Shearjashub thy son, at the end of the _______ of the upper pool in the highway of the ______ field"," conduit, fuller's - Isaiah 7:3",7
What did God compare Pekah and Rezin to in Isaiah chapter 7?, two tails of smoking firebrands - Isaiah 7:4,7
Who did the Lord compare to two fails of smoking firebrands?," Rezin (king of Syria), and Pekah (king of Israel) - Isaih 7:4",7
Who did Syria and Ephraim (Israel) want to set up as a king in Judah in place of Ahaz?, the son of Tabeal - Isaiah 7:6,7
"Be specific, what was God's response to the plan of Syria and Israel to replace Ahaz as king?"," It shall not stand, neither shall it come to pass - Isaiah 7:7",7
Within how many years did God say that Ephraim would be broken?, 65 years (three score and five) - Isaiah 7:6,7
What did the Lord instruct Ahaz to do?, Ask a sign of the Lord thy God - Isaiah 7:11,7
How did king Ahaz respond when the Lord told him to ask a sign of the Lord?," I will not ask, neither will I tempt the Lord - Isaiah 7:12",7
"Complete the verse, And he said, Hear ye now, O house of David, Is it a small thing for you to weary men",  but will ye weary my God also? - Isaiah 713,3
"Ahaz refused to ask for a sign, the Lord gave him this sign that a virgin would conceive, what was to be the name of her son?", Immanuel - Isaiah 7:14,7
"According to Isaiah, a virgin would bring forth a son Immanuel, what would He eat?", Butter and honey - Isaiah 7:15,7
"According to Isaiah, before the child shall know to refuse evil and choose good what would happen to the land whose two kings Ahaz abhores?", the land will be forsaken of both her kings - Isaiah 7:16,7
"According to Isaiah, what nation is represented by a fly?", Egypt - Isaiah 7:18,7
"According to Isaiah, what nation is represented by a bee?", Assyria - Isaiah 7:18,7
"According to Isaiah chapter 7, where would the fly come from?", The uttermost part of the rivers of Egypt - Isaiah 7:18,7
"According to Isaiah chapter 7, where would the bee come from?", The land of Assyria - Isaiah 7:18,7
What instrument does the Lord use to shave in Isaiah chapter 7?, a razor - Isaiah 7:20,7
How is the razor in Isaiah 7 described?, that is hired - Isaiah 7:20,7
"According to Isaiah 7:20, what three parts of the body are mentioned as being shaved? "," The head, the hair of the feet, and the beard - Isaiah 7:20",7
"According to Isaiah chapter 7, in that day a man shall nourish what two animals?", a young cow and two sheep - Isaiah 7:21,7
"According to Isaiah, what will there be where there were once a thousand vines worth a thousand silverlings?", briers and thorns - Isaiah 7:23,7
What will men now come with because the land now has only briers and thorns?, arrows and bows (to hunt) - Isaiah 7:24,7
"FIB 2 blanks, Bind up the ____, seal the _____ among my disciples"," testimony, law - Isaiah 8:16",8
"Isaiah warned, when they were told to seek  them that have familiar spirits, to wizards that peep and mutter, who should they seek instead?", their God Isaiah 8:19,8
"Isaiah warned, ""To the law and to the testimony, if they speak not according to this word it is because what?", there is no light in them Isaiah 8:20,8
"Bonus Question: For unto us a child is born, unto us a son is given, and the government shall be upon his shoulder for 5 points each each of the 5 names he was to be called?"," Wonderful, Counsellor, The mighty God, The everlasting Father, The Prince of Peace Isaiah 9:6",9
"Isaiah said that the increase of His government and peace there shall be no end, upone the throne of whose throne and kingdom would it be?", David Isaiah 9:7,9
"FIB, 2 blanks, Manasseh, Ephraim, and _____, _______, and they together shall be against Judah. For all this his anger is not turned away, but his hand is stretched out still."," Ephraim, Manasseh - Isaiah 9:21",9
"FIB 2 blanks, Shall the ____ boast itself against him that heweth therewith? or shall the ____ magnify itself against him that shaketh it?"," axe, saw  - Isaiah 10:15",10
From whose stem did Isaiah say that a rod should come?, Jesse - Isaiah 11:1,11
"Isaiah said that a rod would come from the stem of Jesse, where would the Branch grow out of?", His roots - Isaiah 11:1,11
What animal did Isaiah say the wolf would dwell with?, the lamb - Isaiah 11:6,11
What animal did Isaiah say would lie down  with the kid?, the leopard - Isaiah 11:6,11
"According to Isaiah, where was Lucifer fallen from?", Heaven - Isaiah 14:12,14
How did Isaiah describe Lucifer as?, son of the morning - Isaiah 14:12,14
What did Isaiah accuse Lucifer of doing?, Weaken the nations - Isaiah 14:12,14
Bonus Question: For 5 points each list any 3 of ? Things that Lucifer said in his heart," I will ascend into heaven, I will exalt my throne above the stars of God, I  will sit also upon the mount of the congregation in the sides of the north, I will ascend above the hights of the clouds, I will be like the most High - Isaiah 14:13-14",14
"Finish the verse, Yet thou shalt be brought down to hell", to the sides of the pit - Isaiah 14:15,14
"They that see thee shall narrowly look upon thee, and consider thee, saying, Is this the man that made the earth to____, that did shake _____"," tremble, kingdoms  - Isaiah 14:16",14
"God instructed Isaiah to go, set a watchman. What was the watchman to do?", let him declare what he seeth. - Isaiah 21:6,21
"How did Isaiah's watchman respond when he was told ""behold, here cometh a chariot of men, with a couple of horsemen?"""," he answered and said, Babylon is fallen, is fallen and all the graven images of her gods he hath broken unto the ground. - Isaiah 21:9",21
"According to Isaiah 22, God would lay the key to the house of David on Eliakim's shoulder. What would be the result when he shall open?", none shall shut. Isaiah 22:22,22
For how long would Tyre be forgotten?, Seventy years  Isaiah 23:15,23
"FIB 2 blanks, He will swallow up ____ in victory, and the Lord God will wipe away ____ from off all faces"," death, tears  Isaiah 25:8",25
"Complete the verse, And it shall be said in that day, Lo, this is our God, we have waited for him, and he will save us, this is the Lord, we have waited for him",  we will be glad and rejoice in his salvation. Isaiah 25:9,25
"What reason did Isaiah give when he stated, Thou wilt keep him in perfect peace, whose mind is stayed on thee?", because he  trusteth in thee (God) Isaiah 26:3,26
"Bonus Question: In Isaiah chapter 27, what two animals is leviathan described as?"," Crooked serpent, the dragon Isaiah 27:1",27
Who did Isaiah describe as a crooked serpent and a dragon?, Leviathan Isaiah 27:1,27
"Complete the verse for Isaiah 28:10 - ""For precept must be upon precept, precept upon precept, line upon line, line upon line"," here a little, and there a little  Isaiah 28:10",28
"FIB 3 blanks, Therefore thus saith the Lord God, Behold, I lay in Zion for a foundation a ____, a tried ____, a precious corner ____, a sure foundation"," stone, stone, stone Isaiah 28:16",28
"Isaiah says that the bed is shorter than that a man can stretch himself on it, what did he say the covering is narrower than?", that he can wrap himself in it. Isaiah 28:20,28
"In what mount did Isaiah say that the Lord shall rise up to do his strange work, and bring to pass his strange act?", Perazim Isaiah 28:21,28
"In what valley did Isaiah say that the Lord shall wroth as in that he might do his strange work, and bring to pass his strange act?", Gibeon Isaiah 28:21,28
"Isaiah said the Lord shall rise up as in Mt Perazim, and be wroth in the valley of Gibeon, what 2 things did he say he would do and bring to pass?"," his strange work, his strange act Isaiah 28:21",28
"The Lord said, forasmuch as this people draw near me with their mouth, and with their lips honor me, what 2 faults did they have?"," Removed their hearts far from Him, and their fear taught by the precepts of men. Isaiah 29:13",29
"FIB 2 blanks, Surely your turning of things upside down shall be esteemed as the potter's clay, for shall the work say of him that made it, He made me not? or shall the thing ____ say of him that ____ it, He had no understanding?"," framed, framed Isaiah 29:16",29
"Complete the verse, ""And thine ears shall hear a word behind thee, saying, This is the way, walk ye in it","  when ye turn to the right hand, and when ye turn to the left. Isaiah 30:21",30
"FIB 2 blanks, Blessed are ye that ___ beside all ____, that send forth thither the feet of the ox and the ass"," sow, waters Isaiah 32:20",32
