Question,Answer,Chapter
"As the daughters of the priest of Midian watered their father's flock, who came?","shepherds, Exodus 2:17",2
What did the shepherds do to the daughters of the priest of Midian?,"drove them away, Exodus 2:17",2
"Moses stood up, helped the daughters of the priests of Midian, and did what?","watered their flock, Exodus 2:17",2
What was the name of the priest of Midian who had seven daughters?,"Reuel, Exodus 2:18",2
Why did Reuel question his daughters when they came back from the well after Moses helped them?,"Because they came so soon (they returned earlier than expected), Exodus 2:18",2
Whose hands did the daughters of Reuel say Moses delivered them out of?,"the hands of the shepherds, Exodus 2:19",2
"Be specific, who did the daughters of Reuel say delivered them out of the hand of the shepherds?","An Egyptian, Exodus 2:19",2
"Bonus for 10: Who said these words and to whom: ""Why is it that ye have left them man? call him, that he may eat bread.""","Reuel (the priest of Midian), to his daughters, Exodus 2:20",2
The priest of Midian told his daughters to call Moses so that he may do what?,"eat bread, Exodus 2:20",2
"After being called to eat bread, it is said that Moses was content to do what with Reuel?","dwell with him, Exodus 2:21",2
Who did Reuel give to Moses?,"Zipporah, Exodus 2:21",2
What was Zipporah's relationship with Reuel?,"She was his daughter, Exodus 2:21",2
Name Moses's first son.,"Gershom, Exodus 2:22",2
"Name this person: His father named him saying ""I have been a stranger in a strange land"".","Gershom, Exodus 2:22",2
"Bonus for 20: FIB: ""And he called his name ___: for he said, I have been a ___ in a ___ ____","Gershom, stranger, strange, land, Exodus 2:22",2
The children of Israel cried. Who did their cry come up to?,"God, Exodus 2:23",2
"After this person died, God heard the groaning of the children of Israel.","the king of Egypt, Exodus 2:23",2
For what reason did the children of Israel sigh after the death of the king of Egypt?,"by reason of the bondage, Exodus 2:23",2
Bonus for 15: God heard the Hebrews' groaning and remembered his covenant with what three people?,"Abraham, Isaac, Jacob, Exodus 2:24",2
When God heard the groaning of the Children of Israel what did he remember?,"his covenant (with Abraham...), Exodus 2:24",2
"When he remembered his covenant, God looked upon the children of Israel and had what unto them?","respect, Exodus 2:25",2
How was Jethro related to Moses?,"Father in law, Exodus 3:1",3
What was Jethro's occupation?,"priest (of Midian), Exodus 3:1",3
What did Moses keep for his father in law?,"the flock, Exodus 3:1",3
What was the name of the mountain of God that Moses came to with a flock of sheep?,"Horeb, Exodus 3:1",3
What part of the desert did Moses lead the flock to as he came to Horeb?,"the backside, Exodus 3:1",3
Who appeared unto Moses at Horeb?,"an angel of the Lord, Exodus 3:2",3
Bonus for 15: FIB: And the angel of the Lord appeared unto him in a ___ of ___ out of the midst of a ___.,"flame, fire, bush, Exodus 3:2",3
Moses saw that the bush burned with fire but what did not happen?,"the bush was not consumed, Exodus 3:2",3
"Be specific,The angel of the Lord appeared unto Moses in what out of the midst of a bush?","a flame of fire, Exodus 3:2",3
What was not consumed as it burned with fire?,"the bush, Exodus 3:2",3
"Who said these words? ""I will now turn aside, and see this great sight, why the bush is not burnt.""","Moses, Exodus 3:3",3
Who saw that Moses turned aside to see the burning bush?,"The Lord, Exodus 3:4",3
"At Horeb, God called out to Moses out of the midst of what?","the bush, Exodus 3:4",3
"How did Moses respond when God said ""Moses, Moses"", from the midst of a burning bush?","Here am I, Exodus 3:4",3
"Bonus for 15: Finish the verse: ""Put off thy shoes from off they feet...""","For the place whereon thou standest is holy ground, Exodus 3:5",3
What did God tell Moses to do before he drew hither to the burning bush?,"Put off his shoes, Exodus 3:5",3
Why did God tell Moses to take off his shoes at Horeb?,"For the place where he stood was holy ground, Exodus 3:5",3
"God told Moses that he is the God of Abraham, Isaac, Jacob, and who else?","his father, Exodus 3:6",3
"Because he was afraid, what did Moses do after God announced who he was?","hid his face, Exodus 3:6",3
"Be specific, why did Moses hide his face at the burning bush?","because he was afraid to look upon (at) God, Exodus 3:6",3
God said he knew the sorrows of his people in Egypt. What did he say that he saw of them?,"the affliction, Exodus 3:7",3
"FIB with one blank: Said by God to Moses: ""(I) have heard their cry by reason of their ___; for I know their sorrows""","taskmasters, Exodus 3:7",3
Whose sorrows did the Lord tell Moses he saw?,"his people in Egypt, Exodus 3:7",3
Bonus for 25: In addition to the Canaanites what five people did the Lord say would be living in the good land he would give the Hebrews?,"Hittites, Amorites, Perizzites, Hivites, Jebusites, Exodus 3:8",3
"The lord described the land he would bring his people into as large, flowing with milk and honey and how else?","good, Exodus 3:8",3
Bonus for 10: The Lord described a good large land. What did would be flowing in it?,"milk and honey, Exodus 3:8",3
"FIB with one blank: Now therefore, behold, the ___ of the children of Israel is come unto me","cry, Exodus 3:9",3
God told Moses he saw the oppression of the children of Israel. Who did he say oppressed them?,"the egyptians, Exodus 3:9",3
The Lord told Moses he would send him unto who?,"Pharaoh, Exodus 3:10",3
"Who said the following: ""Who am I, that I should go unto Pharaoh""","Moses, Exodus 3:11",3
"God told Moses that as a token to him, when he brings the people out of Egypt, what would happen?","they would serve God on this mountain, Exodus 3:12",3
Moses asked God what he should tell the Children of Israel when they ask Moses what question?,"What is his name, Exodus 3:13",3
"Be Specific, God told Moses to say that who sent Moses to the Children of Israel?","I AM (THAT I AM), Exodus 3:14",3
I AM hath sent me unto you. Who was Moses told to say these words to?,"the children of Israel, Exodus 3:14",3
"Bonus for 20: FIB: ""The Lord God of your ___, the God of ___, the God of ___, and the God of ___, hath sent me unto you.""","fathers, Abraham, Isaac, Jacob, Exodus 3:15",3
"God told Moses that ""I AM"" was his name forever and it was what unto all generations?","his memorial, Exodus 3:15",3
Who did God tell Moses to gather together and tell that God visited them.,"the elders of Israel, Exodus 3:16",3
God told Moses to request from Pharaoh a three days journey for the Israelites. Where would they go on this journey?,"into the wilderness, Exodus 3:18",3
God told Moses to beseech Pharaoh. For what purposes would Moses and the Israelites take a three days journey into the wilderness?,"to sacrifice to the Lord, Exodus 3:18",3
"FIB with one blank: I am sure that the king of Egypt will not let you go, no, not by a ___ hand","mighty, Exodus 3:19",3
God said he would stretch out his hand and smite egypt with what?,"wonders, Exodus 3:20",3
Where did God tell Moses he would smite Egypt with wonders?,"in the midst, Exodus 3:20",3
God told Moses that what would happen after he smote Egypt with wonders?,"Pharaoh would let you go, Exodus 3:20",3
In whose sight did God tell Moses he would give the children of Israel favour?,"the Egyptians, Exodus 3:21",3
God told Moses that the children of Israel would not go in what state when they left Egypt?,"empty, Exodus 3:21",3
Bonus for 15: What did God say every woman should borrow from her neighbor as the Israelites left Egypt?,"jewels of silver, jewels of gold, and raiment, Exodus 3:22",3
God told Moses that every Israelite woman would borrow jewels from her neighbor and from who else?,"her that sojourneth (lives) in her house, Exodus 3:22",3
"After every woman puts raiments on their sons and daughters, what did God say the Israelites would do to the Egyptians?","spoil them, Exodus 3:22",3
"When Moses shared his concern, the Lord asked what was in his hand. How did Moses answer?","a rod, Exodus 4:2",4
Moses told the Lord a staff was in his hand. What did God then tell him to do?,"cast it on the ground, Exodus 4:3",4
What happened when Moses cast down his rod for the first time?,"it became a serpent, Exodus 4:3",4
"When Moses's rod first turned into a serpent, what did Moses do?","fled from it, Exodus 4:3",4
What did  the Lord tell Moses to do to turn the serpent back into a rod?,"take it by the tail, Exodus 4:4",4
"Bonus for 15: FIB: Put forth thine hand, and take it by the ___. And he put forth his hand, and ___ it, and it became a ___ in his hand.","tail, caught, rod, Exodus 4:4",4
"Be specific, the Lord told Moses to put his hand where, causing it to become leprous?","his bosom, Exodus 4:6",4
Moses's hand was described as leprous as what?,"snow, Exodus 4:6",4
What did Moses have to do to return his hand to normal from its leprous state?,"put his hand into his bosom again, Exodus 4:7",4
"God told Moses that if the children of Israel didn't believe his first two signs, he should pour water on dry land. Where would the water be from?","the river, Exodus 4:9",4
What did God say the water Moses poured on the ground would turn into?,"blood, Exodus 4:9",4
Moses told the Lord he was slow of speech and of a slow what?,"tongue, Exodus 4:10",4
"Who said these word: ""O my Lord, I am not eloquent""","Moses, Exodus 4:10",4
"Bonus for 20: FIB: ""Who hath made man's mouth? or who maketh the ___, or ___, or the ___, or the ___? have not I the Lord?""","dumb, deaf, seeing, blind, Exodus 4:11",4
"Who were these words said to: ""Who hath made man's mouth? or who maketh the dumb, or deaf, or the seeing, or the blind? have not I the Lord?","Moses, Exodus 4:11",4
When Moses told the Lord he was not eloquent the Lord told him to go because He would be Moses's what?,"mouth, Exodus 4:12",4
"Fill in the blank with one blank: ""Is not Aaron the ___ thy brother?""","Levite, Exodus 4:14",4
God said to Moses that who would be the spokesman unto the Israelites?,"Aaron the Levite, Exodus 4:16",4
"At the burning bush, God told Moses to take what in his hand to do signs with?","the rod, Exodus 4:17",4
Who did Moses ask to let him go back to Egypt?,"Jethro (his father in law), Exodus 4:18",4
"When Moses asked him to let him go back to Egypt, what did Jethro say?","Go in peace, Exodus 4:18",4
The Lord told Moses in Midian to go back to Egypt. Who did he say was dead?,"all the men that sought his life, Exodus 4:19",4
"When Moses went back to Egypt, what did he set his wife and sons upon?","an ass, Exodus 4:20",4
What did the Lord say he would do to Pharaoh after Moses did all his the wonders before him?,"harden his heart, Exodus 4:21",4
God told Moses to do wonders before Pharaoh. What did he say Pharaoh would not do because he would harden his heart?,"let the people go, Exodus 4:21",4
"FIB with one blank: When thou goest to return into Egypt, see that thou do all those ___ before Pharaoh","wonders, Exodus 4:21",4
"God told Moses to say to Pharaoh that Israel is God's son, even what?","His firstborn, Exodus 4:22",4
"What did God describe to Moses as his son, even his firstborn?","Israel, Exodus 4:22",4
"FIB with one blank: Israel is my ___, even my firstborn","son, Exodus 4:22",4
"Bonus for 15: Let my son go, that he may serve me: and if thou refuse to let him go, behold...","I will slay thy son even thy firstborn, Exodus 4:23",4
God called Israel his son. What did he say he would do if Pharaoh refused to let Israel go?,"slay thy son, even thy firstborn, Exodus 4:23",4
The Lord met and sought to kill Moses by the way in what?,"the inn, Exodus 4:24",4
"By the way in the inn, the Lord met Moses and sought to do what?","to kill him, Exodus 4:24",4
"Bonus for 10: Who said these words and who were they spoken to: ""Surely a bloody husband art thou to me.""","Zipporah to Moses, Exodus 4:25",4
"Who said these words, ""Surely a bloody husband art thou to me""","Zipporah, Exodus 4:25",4
What did Zipporah do after taking a sharp stone and cutting off the foreskin of her son?,"cast it at his feet, Exodus 4:25",4
"Be specific, with what did Zipporah cut off her son's foreskin?","a sharp stone, Exodus 4:25",4
Whose foreskin did Zipporah cut off and then cast at Moses's feet?,"her son, Exodus 4:25",4
"Zipporah said ""a bloody husband thou art because of"" what?","the circumcision, Exodus 4:26",4
"Bonus for 15: FIB of a quote from Zipporah: A ___ ___ thou art, because of the ___","bloody, husband, circumcision, Exodus 4:26",4
"Who did the Lord say the following to: ""Go into the wilderness to meet Moses""","Aaron, Exodus 4:27",4
The Lord told Aaron to go where to meet Moses?,"the wilderness, Exodus 4:27",4
"After being told by God to meet Moses in the wilderness, where did Aaron meet him?","at the mount of God, Exodus 4:27",4
Aaron kissed moses at the mount of what?,"God, Exodus 4:27",4
"When Aaron first met Moses at the mount of God, what did he do?","kissed him, Exodus 4:27",4
"Be specific, Moses told Aaron all the words of the Lord who had sent him, and all of what?","the signs which he had commanded him, Exodus 4:28",4
"Who did Moses tell all the words of the Lord who had sent him, and all the signs which he had commanded him?","Aaron, Exodus 4:28",4
Aaron met Moses in the wilderness. They then gathered who together?,"all the elders of the children of Israel, Exodus 4:29",4
"FIB with one blank: And ___ spake all the words which the Lord had spoken unto Moses, and did the signs in the sight of the people.","Aaron, Exodus 4:30",4
Aaron spake all the words which the Lord spoke to who?,"Moses, Exodus 4:30",4
Aaron spake all the words which the Lord had spoken unto Moses. What did he do in the sight of the people?,"the signs, Exodus 4:30",4
"Bonus for 20: FIB: And the people ___, and when they heard that the Lord had visited the children of Israel, and that he had looked upon their ___, then they ___ their heads and ___.","believed, affliction, bowed, worshipped, Exodus 4:31",4
"Be specific, In Exodus 4, when the children of Israel heard that the Lord looked upon their affliction, what did they do?","bowed their heads and worshipped, Exodus 4:31",4
"When Moses and Aaron first met Pharaoh, they asked him to let the Israelites go so that they could hold what in the wilderness?","a feast, Exodus 5:1",5
Moses and Aaron asked Pharaoh to let the Israelites go so they could hold a feast where?,"the wilderness, Exodus 5:1",5
"Bonus for 15: Who said these words and who were they spoken to: ""Who is the LORD, that I should obey his voice to let Israel go?""","Pharaoh to Moses and Aaron, Exodus 5:2",5
What reason did Moses and Aaron give Pharaoh for the people of Israel needing to go into the wilderness?, To sacrifice to the LORD Exodus 5:3.,5
What two things did Moses and Aaron say God might fall upon them with if Israel didn't go to sacrifice to the LORD?,pestilence or the sword Exodus 5:3.,5
"Complete the verse, Wherefore do ye Moses and Aaron, let the people from their works?", Get you unto your burdens Ex 5:4,5
"FIB with one blank: Behold, the people of the land now are ___, and ye have made them rest from their burdens.","many, Exodus 5:5",5
"After talking to Moses and Aaron, when did Pharaoh tell the taskmasters to take straw from the Israelites?","the same day, Exodus 5:6",5
What did Pharaoh instruct the taskmasters to stop giving the Israelites for make their bricks in Exodus chapter 5?,"Straw, Exodus 5:7",5
FIB with one work: Ye shall no more give the people straw to make ___.,"brick, Exodus 5:7",5
"After Moses and Aaron came to see Pharaoh, who did Pharaoh instruct the taskmasters should be responsible for gathering straw to make bricks?", The Israelites (themselves) Exodus 5:7.,5
Pharaoh said to give the Israelites more work so that they may labour and not regard what kind of words?,"vain, Exodus 5:9",5
The taskmasters spoke to the Israelites telling them of Pharaoh's instructions not to give them straw to make bricks. Who else were with the taskmasters as they spoke with the Israelites?, their officers Ex 5:10,5
"FIB with one word: Thus saith Pharaoh, I will not give you ___.","straw, Exodus 5:10",5
The taskmasters said that the Israelites should get their own straw. What did they say should not be diminished?,"(not ought of) their work, Exodus 5:11",5
"Be specific, in search of straw, the children of Israel scattered throughout where?","all the land of Egypt, Exodus 5:12",5
What does exodus 5 say that the children of Israel gathered instead of straw?, stubble Exodus 5:12,5
The taskmasters hastened the children of Israel to fulfil their works and daily tasks as they did when?,"when there was straw, Exodus 5:13",5
Who set the officers of the Israelites over them?,"the taskmasters, Exodus 5:14",5
Who does it say in Exodus 5 were beaten because they did not fulfil their tasks in making bricks as they did the day before?," The officers of the children of Israel, Exodus 5:14",5
To whom did the officers of the children of Israel cry to regarding their treatment after being beaten for not producing enough bricks?," Pharaoh, Exodus 5:15",5
"According to Pharaoh in Exodus 5, why did the Israelites want to go and sacrifice to the LORD?"," Because they were idle, Exodus 5:17.",5
"FIB with the same word: Ye are ___, ye are ___, therefore ye say, Let us go and do sacrifice to the Lord","idle, Exodus 5:17",5
"Be Specific, After the officers’ complained, Pharaoh told them that no straw would be given to them yet they shall deliver what?","The tale of bricks, Exodus 5:18.",5
"After they were told that the amount of bricks they produces should not be diminished, the officers of the children of Israel saw that they were in what?","an evil case, Exodus 5:19",5
Who did the officers of Israel blame saying that they made their savour to be abhorred by Pharaoh?, Moses and Aaron Exodus 5:20-21,5
"Bonus for 10: FIB: The Lord look upon you, and judge; because ye have made our ___ to be ___ in the eyes of Pharaoh.","savour, abhorred, Exodus 5:21",5
What did the officers say that Moses and Aaron had put in the hands of Pharaoh and his servants to slay them?," A sword, Exodus 5:21",5
Who were these words spoken to: wherefore hast thou so evil entreated this people? Why is it that thou hast sent me?,"the Lord, Exodus 5:22",5
"FIB with one blank: For since I came to Pharaoh to speak in thy name, he hath done ___ to this people.","Evil, Exodus 5:23",5
"Moses said that since he came to speak to Pharaoh, God had not done what at all?","delivered his people, Exodus 5:23",5
"FIB with the same word: For with a ___ hand shall he let them go, and with a ___ hand shall he drive them out of his land.","strong, Exodus 6:1",6
"The Lord said that with a strong hand, Pharaoh would let the children of Israel go. What else did he say Pharaoh would do?","drive them out of his land, Exodus 6:1",6
"Bonus for 15: In Exodus 6, God told Moses that he appeared unto what three people?","Abraham, Isaac, Jacob, Exodus 6:3",6
"Who, in addition to Abraham and Jacob, did God tell Moses he appeared unto?","Isaac, Exodus 6:3",6
"God said that he was known to Abraham, Isaac, and Jacob by the name of God Almighty, by what name was he not known to them?","Jehova, Exodus 6:3",6
God told Moses that he was not known by the name Jehovah to Abraham and others. What name did he say they did know him by?,"God Almighty, Exodus 6:3",6
"God said that he established what with Abraham, Isaac and Jacob?","a covenant, Exodus 6:4",6
"God told Moses that his covenant with his ancestors was to give them which land, in which they were strangers?","Canaan, Exodus 6:4",6
"FIB with one blank: I have also establish my covenant with them, to give them the land of Canaan, the land of their ___, wherein they were strangers.","pilgrimage, Exodus 6:4",6
"Bonus for 20: I have also established my ___ with them, to give them the land of ___, the land of their ___, wherein they were ___.","covenant, Canaan, pilgrimage, strangers, Exodus 6:4",6
What did God say he heard of the children of Israel and remembered his covenant?,"groaning, Exodus 6:5",6
When God heard the groaning of the children of Israel what did he remember?,"his covenant, Exodus 6:5",6
"In addition to great judgements, what did God say he would redeem the Israelites with?","a stretched out arm, Exodus 6:6",6
"FIB with one blank: I will bring you out from under the burden of the Egyptians, and I will rid you out of their ___.","bondage, Exodus 6:6",6
God said that he would take the children of Israelites for a people. What did he say he would be to them?,"a God, Exodus 6:7",6
"Be specific, In Exodus 6, God said the children of Israel would know that he brought them out from under what?","the burden of the Egyptians, Exodus 6:7",6
"God said he would bring the Israelites that which he swore to give to Abraham, Isaac, and Jacob. He said he would give it to them as what?","an heritage, Exodus 6:8",6
Bonus for 15: Moses spake unto the children of Israel but they hearkened not unto Moses for what two reasons?,"anguish of spirit and cruel bondage, Exodus 6:9",6
For anguish and spirit and for what other reason did the children of Israel not hearken unto Moses?,"cruel bondage, Exodus 6:9",6
For cruel bondage and for what other reason did the children of Israel not hearken unto Moses?,"anguish of spirit, Exodus 6:9",6
"Moses spoke to the Lord. He said that if the children of Israel have not hearkened unto him, how shall this person hear him? Name the person","Pharaoh, Exodus 6:12",6
"When saying to the Lord that the Children of Israel would not hearken unto him, what word did Moses use to describe his lips?","uncircumcised, Exodus 6:12",6
"In Exodus 6, who in addition to Moses did the Lord give charge unto the children of Israel?","Aaron, Exodus 6:13",6
The Lord gave Moses and Aaron charge unto the children of Israel and unto who?,"Pharaoh (king of Egypt), Exodus 6:13",6
The Lord gave Moses and Aaron charge to do what for the children of Israel?,"bring them out of the land of Egypt, Exodus 6:13",6
"Who was the father of Hanoch, Pallu, Hezron, and Carmi?","Reuben, Exodus 6:14",6
"In Exodus 6, what son of Reuben was mentioned first?","Hanoch, Exodus 6:14",6
Bonus for 20: Name Reuben's 4 sons.,"Hanoch, Pallu, Hezron, Carmi, Exodus 6:14",6
Who was the father of Hezron and Carmi?,"Reuben, Exodus 6:14",6
Who was the firstborn of Israel?,"Reuben, Exodus 6:14",6
Who was the father of Jemuel?,"Simeon, Exodus 6:15",6
Who was the father of Zohar and Shaul?,"Simeon, Exodus 6:15",6
"Who was the father of Jamin, Ohad, and Jachin?","Simeon, Exodus 6:15",6
Which of Simeon's sons was the son of a Canaanitish woman?,"Shaul, Exodus 6:15",6
What kind of woman does Exodus 6 say Shaul was the son of?,"Canaanitish, Exodus 6:15",6
Which son of Israel had a son with a Canaanitish woman?,"Simeon, Exodus 6:15",6
Who was the first son of Simeon mentioned in Exodus 6?,"Jemuel, Exodus 6:15",6
Who was Gershon's father?,"Levi, Exodus 6:16",6
Who was the father of Kohath and Merari?,"Levi, Exodus 6:16",6
"Who am I: I lived for 137 years, I am the grandfather of Amram, I am the father of Kohath.","Levi, Exodus 6:16",6
How long did Levi live?,"137 years, Exodus 6:16",6
Who was the firstborn son of Levi?,"Gershon, Exodus 6:16",6
"In addition to Gershon and Merari, who was the son of Levi?","Kohath, Exodus 6:16",6
Bonus for 15: Name Levi's sons.,"Gershon, Kohath, and Merari, Exodus 6:16",6
Who was the father of Libni and Shimi?,"Gershon, Exodus 6:16",6
"In addition to Shimi, who was the other son of Gershon?","Libni, Exodus 6:17",6
"Exodus 6 names the sons of Gershon, which son of Levi does it mention next?","Kohath, Exodus 6:18",6
"Who was the father of Izhar, Hebron, and Uzziel?","Kohath, Exodus 6:18",6
Who was Amram's father?,"Kohath, Exodus 6:18",6
For how long did Kohath live?,"133 years, Exodus 6:18",6
Bonus for 20: Name the 4 sons of Kohath?,"Amram, Izhar, Hebron, Uzziel, Exodus 6:18",6
Who was the grandfather of Kohath?,"Israel, Exodus 6:18",6
"FIB with one word: And the sons of ___, Amram, Izhar, Hebron, and Uzziel","Kohath, Exodus 6:18",6
Who was the father of Mahali and Mushi?,"Merari, Exodus 6:19",6
"Who, along with Mahali, was the son of Merari?","Mushi, Exodus 6:19",6
"Who, along with Mushi, was the son of Merari?","Mahali, Exodus 6:19",6
Who was the wife of Amram?,"Jochebed, Exodus 6:20",6
How long did Amram live?,"137 years, Exodus 6:20",6
Name the mother of Aaron and Moses.,"Jochebed, Exodus 6:20",6
Who was the father of Aaron?,"Amram, Exodus 6:20",6
Who was Moses's grandfather?,"Kohath, Exodus 6:20",6
What was Kohath's relationship to Aaron?,"grandfather, Exodus 6:18-20",6
Who was Moses's great grandfather?,"Levi, Exodus 6:20",6
"The sons of Izhar were Nepheg, Zichri, and who else?","Korah, Exodus 6:21",6
